person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_home_ownership_encoded,loan_intent_encoded,loan_grade_encoded,cb_person_default_on_file_encoded,debt_to_income
22,10.985309671896763,RENT,50.0,PERSONAL,D,35000,16.02,1,0.59,Y,3,3,4,3,1,3186.073132698204
21,9.169622538697624,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,2,1,1,0,109.05574311044995
25,9.169622538697624,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,0,3,2,0,599.8065871074748
23,11.089820688682373,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,3,3,2,0,3156.047422454627
24,10.904137815028022,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,3,3,2,1,3209.7906862258465
21,9.200391041122515,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,2,5,0,0,271.72758079802026
26,11.252871529635922,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,3,1,1,0,3110.317211728836
24,11.276658679464603,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,3,3,1,0,3103.756262813635
24,11.326607934898927,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,3,4,0,0,3090.068995163142
21,9.210440366976517,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,2,5,3,0,173.71590675910613
22,11.350418300109132,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,3,5,1,0,3083.5867960622636
21,9.210440366976517,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,2,2,0,0,488.57598775998605
23,11.461642696843066,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,3,5,0,0,3053.6635040664996
26,11.591376136796182,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,3,1,4,0,3019.486175493386
23,11.652696102959753,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,3,1,0,0,3003.5967376777376
23,13.122365377402328,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,0,0,1,0,2286.1731964621404
23,11.695255355062795,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,3,1,0,0,2992.6665931965945
23,11.430760506915592,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,3,3,5,0,3061.913507751742
23,11.635151947212842,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,3,0,3,0,3008.12573473818
24,9.287394001418473,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,0,1,1,0,188.4274533558844
25,11.998439434579149,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,3,5,0,0,2917.046020095833
25,11.827743504053695,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,3,4,4,1,2942.234923176435
22,11.082157933374816,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,3,1,3,0,3067.9945372016623
24,9.303921785597714,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,2,4,0,0,161.2223355447775
22,11.289794413577894,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,3,4,3,1,3007.1406755794737
24,11.123535457318734,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,3,2,2,0,2966.6826816547464
21,9.305741456739435,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,0,5,4,1,491.63196949628104
23,9.305741456739435,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,2,4,0,0,150.44475569285103
24,11.082157933374816,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,3,2,1,0,2932.6418370310007
21,9.340491056441229,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,1,1,2,1,428.24300947663653
21,9.351926736038054,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,2,3,1,0,213.85967367482826
25,11.695255355062795,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,3,5,0,0,2736.1523137797435
26,11.461642696843066,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,3,2,2,1,2709.0357657504233
25,12.631343648903034,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,3,0,2,0,1919.827428818785
26,12.611541086966115,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,0,3,2,0,618.4811155284751
21,9.392745258631441,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,2,1,0,0,266.1628662506982
